2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Log file: artifacts/credit/logs/train_20260528_220143.log
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | ============================================================
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Auto-ML training pipeline started
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | ============================================================
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Loading train data: ./examples/credit/data/train.parquet
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Train: 24,000 rows × 25 cols | target 'default': 5,309/24,000 positive (22.12%) | missing 0.00%
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Loading test data:  ./examples/credit/data/test.parquet
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Test:  6,000 rows × 25 cols | target 'default': 1,327/6,000 positive (22.12%) | missing 0.00%
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Features — total=23, numeric=20, categorical=3
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Sizes — train=24000, test=6000
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Step 1/4: preprocessing (null -> outlier -> scaling)
2026-05-28 22:01:43 | INFO    | auto_ml.pipeline | Step 2/4: stability selection (base=lasso, n_subsamples=80, threshold=0.60)
2026-05-28 22:01:57 | INFO    | auto_ml.pipeline | Stability selection kept 19 / 23 features
2026-05-28 22:01:57 | INFO    | auto_ml.pipeline | Step 3/4: model training (3 algorithms)
2026-05-28 22:01:57 | INFO    | auto_ml.trainer | === Training pipeline: lgbm ===
2026-05-28 22:01:57 | INFO    | auto_ml.tuning | Tuning lgbm — n_trials=15, cv_folds=3, metric=roc_auc
2026-05-28 22:02:17 | INFO    | auto_ml.tuning | Tuning lgbm done — best roc_auc=0.7849, params={'learning_rate': 0.021471858797027, 'num_leaves': 85, 'min_data_in_leaf': 55, 'feature_fraction': 0.7779717392187493, 'bagging_fraction': 0.6052561262871233, 'reg_alpha': 0.07115953064092197, 'reg_lambda': 7.860792250906604, 'min_gain_to_split': 0.1471710061864095}
2026-05-28 22:02:18 | INFO    | auto_ml.trainer |   fold 1/4 done (best_iter=199)
2026-05-28 22:02:19 | INFO    | auto_ml.trainer |   fold 2/4 done (best_iter=106)
2026-05-28 22:02:19 | INFO    | auto_ml.trainer |   fold 3/4 done (best_iter=138)
2026-05-28 22:02:20 | INFO    | auto_ml.trainer |   fold 4/4 done (best_iter=174)
2026-05-28 22:02:21 | INFO    | auto_ml.trainer | === Training pipeline: xgb ===
2026-05-28 22:02:21 | INFO    | auto_ml.tuning | Tuning xgb — n_trials=15, cv_folds=3, metric=roc_auc
2026-05-28 22:03:04 | INFO    | auto_ml.tuning | Tuning xgb done — best roc_auc=0.7855, params={'learning_rate': 0.026000059117302653, 'max_depth': 7, 'subsample': 0.6563696899899051, 'colsample_bytree': 0.9208787923016158, 'min_child_weight': 1.6709557931179373, 'reg_alpha': 7.620481786158549, 'reg_lambda': 0.08916674715636537, 'gamma': 0.993578407670862}
