feature,importance_gain,importance_relative
PAY_0,0.5240457438771695,0.2316155904892289
PAY_2,0.14717471308669275,0.06504767661016826
PAY_AMT1,0.12544210379329,0.05544238700868834
PAY_AMT2,0.12516991643232542,0.05532208675423519
PAY_AMT3,0.12236228275379263,0.054081180325877214
LIMIT_BAL,0.11991352736728737,0.052998889454448944
BILL_AMT5,0.11910293967767079,0.052640629228948764
BILL_AMT6,0.1106297724503635,0.0488956934984398
PAY_3,0.10229619940567439,0.04521245503274738
SEX,0.09689961417277741,0.04282729440517466
BILL_AMT1,0.09406283722320523,0.04157350735330348
PAY_5,0.09295864190712223,0.04108547963217776
PAY_4,0.09213428619093476,0.04072113427071122
PAY_AMT5,0.08956602039665543,0.039586022678974445
PAY_6,0.08565854335233107,0.03785901198664751
AGE,0.07756590013152112,0.03428225869725168
PAY_AMT6,0.06105242527796265,0.02698370074897367
PAY_AMT4,0.04793469415801616,0.02118597970129071
BILL_AMT2,0.028596631756032543,0.01263902212271181
