feature,importance_gain,importance_relative
PAY_0,9729.541625204354,0.4702564146042811
PAY_2,2875.982616468091,0.1390044182740333
LIMIT_BAL,900.417380338719,0.043519732505031744
BILL_AMT1,807.0045808672743,0.0390048262689769
PAY_AMT3,728.5421810466161,0.035212515362435574
PAY_3,723.0157739592017,0.034945408392479366
PAY_AMT2,586.8485969953049,0.02836406151176402
PAY_AMT1,529.6824092593993,0.025601057095230924
BILL_AMT2,503.36492071689645,0.024329058035036072
PAY_AMT4,436.33993459790196,0.021089549857223222
PAY_4,433.8554995743737,0.020969470047558277
AGE,404.94136408122455,0.01957196765616426
PAY_AMT6,381.4475131419236,0.01843644303089898
PAY_AMT5,372.1811816444947,0.017988574878998857
BILL_AMT5,336.45675250395425,0.01626191162922193
PAY_5,319.963381787857,0.015464740120381371
BILL_AMT6,308.09299938486174,0.0148910107830862
PAY_6,255.26734297031615,0.012337796588465793
SEX,56.91871506750489,0.0027510433587322604
