name,type,used
LIMIT_BAL,continuous,true
AGE,continuous,true
PAY_0,continuous,true
PAY_2,continuous,true
PAY_3,continuous,true
PAY_4,continuous,true
PAY_5,continuous,true
PAY_6,continuous,true
BILL_AMT1,continuous,true
BILL_AMT2,continuous,true
BILL_AMT3,continuous,true
BILL_AMT4,continuous,true
BILL_AMT5,continuous,true
BILL_AMT6,continuous,true
PAY_AMT1,continuous,true
PAY_AMT2,continuous,true
PAY_AMT3,continuous,true
PAY_AMT4,continuous,true
PAY_AMT5,continuous,true
PAY_AMT6,continuous,true
SEX,category,true
EDUCATION,category,true
MARRIAGE,category,true
client_id,continuous,false
